text,label
نعم ، أعطني معلومات من فضلك,77
yes you can,77
طيب أنا أقبل,77
ليس سيئًا,77
yes cool,77
من فضلك,77
yesyesyes,77
yea,77
نعم افعل ذلك,77
لنفعلها,77
uh huh,77
SURE,77
انتم,77
yeah'=,77
هذا رائع,77
alright cool,77
More a less,77
great lets do that,77
نعم. : /,77
كثيرا جدا,77
fuck yeah!,77
نعم اوافق,77
you got me I accept if you want me to,77
يا تذهب لذلك,77
awesome!,77
jo,77
Yes.,77
Okay,77
I do,77
yep i want that,77
yessoo,77
ya i want,77
yesh,77
نعم من فضلك!,77
نعم سيدي,77
yes pleae,77
عادلة بما فيه الكفاية,77
طبعا أكيد,77
هل حقا,77
Yep!,77
جيد !!,77
That would be great,77
عظيم ، دعونا نفعل ذلك,77
نعم عظيم,77
أكثر وأقل,77
نعم اريد,77
of course,77
Sure,77
رائعة!,77
sure thing,77
yay,77
ok I understood,77
اعتقد ذلك,77
yeeeeezzzzz,77
ok..,77
I have used it in the past,77
نعم تقبل من فضلك,77
انا غيرت رأيي. اريد ان اقبله,77
حسنا عظيم,77
yes go ahead,77
سنوات,77
go,77
نعم كان بخير,77
ياي,77
أذهب خلفها,77
sounds good!,77
Yeah,77
PLEASE,77
great,77
ممتاز,77
yes ...,77
yes',77
OK,77
that is cool,77
هذا سيكون رائع,77
yes that's great,77
يبس,77
sure,77
Oh ok,77
amayzing,77
I get it,77
نعم,77
انا!,77
oh cool,77
أنا استخدامه,77
going super well,77
ofcourse,77
very much,77
Yep,77
نعم!,77
مع مراعاة,77
I'm sure I will!,77
fine,77
i want that,77
"yes, give me information, please",77
نعم جميل,77
yes i have built a bot before,77
alright,77
حسنا صديقي,77
ok,77
ja cool,77
غرامة,77
"yep, will do thank you",77
go ahead,77
jezz,77
بالطبع,77
i agree,77
وافقت.,77
نعم هذا جيد,77
okay sure,77
not bad,77
ok friend,77
that ok,77
yes,77
نعم لقد قمت ببناء روبوت من قبل,77
طيب فهمت,77
I accept.,77
أنا بالتأكيد أحب ذلك,77
"you asked me a yes or no question, which i answered with yes",77
okay,77
that sounds fine,77
yesssss,77
yep please,77
نعم.,77
موافق,77
"yes, cool",77
انا استخدمة,77
ص,77
yaah,77
Yes I do,77
ok cool,77
Yes please!,77
ya,77
قبلت,77
حسنًا ، أود ذلك,77
confirm,77
نعم أقبل,77
ok great,77
نعم رجاء,77
نعم إنه كذلك,77
بالتأكيد نعم دون أدنى شك,77
yep that's nice,77
fair enough,77
Yeah sure,77
تمام!,77
ook,77
معلومات عظيمة,78
cool :),78
انت عظيم,78
that is funny,78
I like you,78
انها ل,78
إنك لرائع,78
That's awesome.,78
you are realy intelligent,78
You are great,78
انت جيد,78
إنه رائع جدًا,78
بارد,78
i love you,78
happy,78
you are a badass bot!,78
sweet,78
you are doin great,78
haha,78
Lol,78
you seem pretty cool :D,78
you are so smart,78
أنت ذكي حقًا,78
حسنًا يا راسبوت ، أنت رائع,78
cool beans,78
:د,78
coolio,78
أحبك,78
i am happy today,78
مضحك جداً,78
HAHA,78
مثلك,78
أنا أحب راسا,78
today was a nice day,78
أنت رائع,78
you good,78
يبدو جميل,78
you are awesome,78
such a great demo,78
أنت لطيف.,78
سعيدة,78
you are cool man,78
cool!,78
أنا سعيد جدا بردك,78
Super! I love Rasa,78
Looks nice,78
I mean to say that I liked the explanation,78
أنا معجب بك,78
ha ha,78
انت ذكي جدا,78
ها ها ها ها,78
هاهاها هذا مضحك,78
i am very happy with your response,78
هههه,78
I like Rasa,78
أشعر بالسعادة,78
لول,78
i am happy,78
You're really cool,78
انت مرح,78
بارد!,78
:),78
انا احبك,78
أنا سعيد اليوم,78
hèhè,78
أنت لطيف,78
انت رجل رائع,78
تبدو رائعًا: د,78
كان ذلك تفاعلًا رائعًا,78
hAHAHA,78
فهمتك,78
أنا سعيد,78
مثل هذا العرض الرائع,78
:D,78
You're cute.,78
أنت روبوت بدس!,78
رائعة! انا احب راسا,78
hahah,78
Wow,78
حلو,78
that was a great interaction,78
Got it,78
wow,78
"okay Rasabot, you're cool",78
You're nice.,78
كوليو,78
you are great,78
I love you,78
Lol thats funny,78
ذلك مضحك,78
LOL,78
WOW,78
بارد :),78
اليوم كان يوما جميلا,78
I am happy,78
hahaha,78
هاها,78
thats funny,78
حبوب فاصولياء رائعة,78
أنت رائع حقًا,78
like u,78
lol,78
you are my new bestfriend,78
love you,78
راسا رائع,78
see you . bye,79
good bye rasa bot!,79
bye .,79
adios?,79
Exit,79
take care,79
Close this talk,79
see ya,79
bye for now,79
طاب مساؤك,79
bye bye,79
مع السلامة.,79
bye udo,79
k byyye #slay,79
bye!,79
Bye bye,79
مخرج,79
وداعا .,79
حسنا الوداع,79
ثم وداعا,79
وداع,79
وداعا!,79
"ok, bye",79
اراك لاحقا,79
goodbye.,79
أغلق هذا الحديث,79
أرك لاحقًا . وداعا,79
قصيرة,79
goodnight,79
ciao,79
ok Bye,79
وداعا أودو,79
ok.bye,79
تلاك اليك لاحقا,79
toodle oo,79
تصبح على خير,79
good bye,79
goodbye,79
byr,79
علي الذهاب,79
then bye,79
وداعا بوت,79
bye :P,79
وداعا,79
bye bot,79
farewell,79
gotta go,79
يعتني,79
Bye,79
see u later,79
مع السلامة,79
bye was nice talking to you,79
باي باي بوت,79
وداعا؟,79
good night,79
tlak to you later,79
absolutely not,80
لا اريد,80
noooooooooooooooooooooooooooooooooooooooo,80
لا ليس لي,80
لااااااااااااااااا,80
nope,80
nah,80
بالطبع لا,80
i don't want to give you my email,80
"stop it, i do not care!!!",80
neither,80
"nah, i'm good",80
لا روبوتات على الإطلاق,80
أنا لا أوافق,80
no bots at all,80
Not really,80
no you did it wrong,80
no i dont want to accept :P lol,80
لا هذا ولا ذاك,80
لا سيدي,80
ليس الآن,80
"no, thankyou",80
لا أحتاج إلى مساعدة في التثبيت,80
nah not for me,80
لا، شكرا,80
not right now,80
لا أريد أن أعطيك بريدي الإلكتروني,80
لا أعتقد ذلك,80
لا ، أنا أكرهه,80
never mind,80
i guess it means   no,80
Neither,80
رقم :(,80
ليس بعد,80
لا انا بخير,80
i don't want to,80
i decline,80
No.,80
ناه ، المرة الأولى,80
deny,80
لا احد منهم,80
لا اذهب,80
انها تسير بشكل سيء جدا,80
"no, i hate it",80
nop,80
no thanks,80
it sucks,80
لا سيدتي,80
لا أريد أن أعطيها لك,80
sorry not right now,80
it is going pretty badly,80
Nah,80
no sorry,80
"No, thank you",80
"nah, first time",80
أنا لا أريد أن أقبل: P lol,80
"no, thanks",80
nah I'm good,80
definitely not,80
NO DON"T WANT THIS!,80
no I dont want,80
no i can't,80
i'm afraid not,80
none of them,80
أنا لا أحب هذا,80
I don't agree,80
لا ، لا أريد أن أقبل: P lol,80
n,80
no. u r idiot,80
أبدا,80
noooooooooo,80
لا لا استطيع,80
never,80
انها sux,80
i don't think so,80
no i don't accept,80
no go,80
I don't want to give it to you,80
no way,80
"No, not really.",80
أنا لا أعطيك عنوان بريدي الإلكتروني,80
لا. أنا جيد,80
ليس صحيحا,80
No thank you,80
I'm not giving you my email address,80
ما يسمى,80
آسف ليس الآن,80
nope!,80
مستحيل,80
توقف ، لا يهمني !!!,80
this sucks,80
not yet,80
no and no again,80
رقم,80
I don't wanna tell the name of my company,80
no I haven't decided yet if I want to sign up,80
لن أعطيها لك,80
thanks but no thanks,80
لا للأسف,80
Never,80
i dont want to,80
تمتص,80
not going well at all,80
no thank s,80
ما زلت لا تريد أن أقول,80
nein,80
هذا سيء,80
no thank you,80
لا ، لقد فعلت ذلك خطأ,80
"no, my frst time",80
لا توقف,80
no!!!!,80
يتناقص,80
I dont want to tell,80
Nopes,80
Nevermind,80
no :(,80
nope. i am good,80
no stop,80
أنا أرفض,80
لا أريد أن أخبر اسم شركتي,80
nehi,80
decline,80
I do not need help installing,80
na,80
لا تسير على ما يرام على الإطلاق,80
أبداً,80
i don't want either of those,80
no ma'am,80
NEIN,80
غ,80
لا شكرا,80
I'm not going to give it to you,80
لا أريد أيا من هؤلاء,80
لا اريد ان اقول,80
لا تريد هذا!,80
سيئ جدا,80
NO,80
non,80
رقم!!!!,80
لا ، وقتي الأول,80
لا انا لا اريد,80
لا!,80
not really,80
لا ولا مرة أخرى,80
i dont want to accept :P lol,80
very bad,80
no i dont want to,80
لا آسف,80
i'm not sure,80
لا ليس بالفعل كذلك.,80
ينكر,80
رقم.,80
i don not like this,80
nö,80
لا,80
I don't want to,80
شكرا ولكن لا شكرا,80
No,80
لا أنا لا أقبل,80
no,80
heeey,81
hey bot!,81
hi mrs rasa,81
hi i'm [Sandra Hernandez](name),81
jop,81
hiihihi,81
salut,81
مرحبا مرحبا,81
Hieeeeeeeeeeeee,81
هاي,81
hello sweet boy,81
مرحبا,81
مرحبا لنتحدث,81
Whats up,81
Whats up?,81
hhola,81
هناك,81
HEY,81
whats up,81
هيييي,81
merhaba,81
مرحبا ايم [أماندا أندرسون] (الاسم),81
sup,81
hi?,81
hi,81
اهلا يا دودى,81
HI Sara,81
مهلا ، لنتحدث,81
مرحبا راسا,81
تصرف بنضج,81
bonjour,81
hey,81
hey sara,81
hi Mister,81
مرحبا..,81
يو,81
Whats up my bot,81
Hi!,81
HI,81
Hei,81
rasa hello,81
hey ther,81
hello,81
Guten Morgen,81
hello],81
greet,81
مرحبا حبيبي,81
heyo,81
Hello!,81
hi.........................................................,81
يا,81
hello world,81
كونيتشيوا,81
"hey, sara!",81
Hallo,81
Hellllooooooo,81
Hey,81
Hi there,81
أهلاً بك,81
hellio,81
ayyyy whaddup,81
hi friends,81
hey rasa,81
what up,81
yo,81
تحية,81
صباح الخير,81
مرحبا يا رجل,81
مرحبا هذا انا مرة اخرى,81
ما أخبارك؟,81
"hey, let's talk",81
Hi',81
مرحبا يا فتى,81
hola,81
الهيليوم,81
hi sara,81
Heya,81
ssup؟,81
مهلا,81
صحة,81
wasssup,81
heelio,81
HELLO,81
halo,81
yoo,81
مساء الخير,81
hallo sara,81
hallo,81
مرحبا بال!,81
jojojo,81
مرحبا صديقي,81
Hi rasa,81
مرحبا جميعا,81
مرحبا ممكن تتكلم,81
أهلا],81
مرحبا يا أصدقاء,81
howdy,81
مرحبًا ، أنا [ساندرا هيرنانديز] (الاسم),81
أهلاً,81
ما ظهرت,81
hello there,81
قلت مرحبا !!!!,81
good evening,81
hi !,81
hii,81
اشعر بالترحيب,81
هالة,81
hello sara,81
أهلا,81
HEllo,81
هذه,81
hi!,81
مرحبا ساره!,81
أهلاً',81
ما أخبارك,81
مرحبا بالعالم,81
Hieeeeeeeeee,81
hi hi,81
Good Morning,81
Hello Bot,81
مرحبا ساره,81
whats popping,81
مرحبا ايها الفتى الحلو,81
هيليو,81
Hello Rasa,81
مرحبا بوت,81
الكالينجيون,81
"Hi,",81
Hey bot,81
wasssup!,81
Hello Sara,81
Hello sara,81
hello hi,81
أهلا مرة أخرى,81
مرحبا !,81
hello everybody,81
konichiwa,81
Hieee,81
يا بوت,81
helloooo,81
مرحبا!,81
hi friend,81
hi there it's me,81
مرحبا هل هناك أحد,81
heyho,81
Hi Sara!,81
مرحبا................................................. ........,81
مرحبا يا من هناك ؛),81
مرحبًا أيها الروبوت,81
hai,81
hey hey,81
"I said, helllllloooooO!!!!",81
hey there,81
Hi,81
hello robot,81
مرحبا ها انا,81
مرحبا ذوق,81
heya,81
halloo,81
good moring,81
غريب,81
hellooo,81
hey there boy,81
نعم,81
كيف الحال؟,81
Bom dia,81
مرحبا يا رفاق,81
hlo,81
مرحبا سارة..,81
hello Sara,81
halo sara,81
helleo,81
hello it is me again,81
ssup?,81
Well hello there ;),81
Hey Sara,81
الوشق,81
الوشق!,81
hell9o,81
Heylo,81
مرحبًا!,81
hieee,81
Hi bot,81
hey bot,81
Hi sara..,81
hey there..,81
hello is anybody there,81
رئيس ey,81
رشفة,81
ey boss,81
hi there,81
مرحبا سارة,81
greetings,81
هيا,81
تحية طيبة,81
hi again,81
hello?,81
"hello, my name is [Charles Pfeffer](name)",81
أهلاً،,81
What is up?,81
hiii,81
"Hi, bot",81
مرحبا السيدة راسا,81
good morning,81
ما يصل,81
جوجو,81
مرحبا؟,81
Good mourning,81
مرحبًا ، اسمي [Charles Pfeffer] (الاسم),81
ما الأمر بوت بلدي,81
هييا,81
Hi sara,81
hi im [Amanda Anderson](name),81
Hola,81
مرحبا يا سارة!,81
hello friend,81
أنا [كارين ميس] (الاسم),81
hey let's talk,81
Bonjour,81
مرحبًا,81
ola sara,81
hi folks,81
يا قارب,81
hi can you speak ?,81
Good morning,81
halloooo,81
يا بوت!,81
مرحبا يا صديقي,81
شكر كثيرا,82
شكرا لك على كل حال,82
great thanks,82
thankyou,82
عظيم شكرا,82
cool thanks,82
thanks,82
في صحتك يا أخي,82
Thank's!,82
thank you,82
شكرا,82
Thank you Sara,82
cool thank you,82
شكرا هذه أخبار رائعة,82
cheers,82
نعم شكرا,82
شكرًا!,82
رائع شكرا,82
thank you anyways,82
ok thanks!,82
thanks this is great news,82
حسنا، شكرا,82
شكرًا لك,82
ok thanks sara,82
"Great, thanks",82
thanks for your information,82
thanks a lot,82
Thanks!,82
شكر,82
شكراً لك,82
thanks!,82
شكرا على ذلك,82
شكرا على معلوماتك,82
Thanks,82
شكرا جزيلا على كل شيء,82
Thanks for that,82
شكرا للمساعدة,82
Thanks bot,82
Cool. Thanks,82
Thank you,82
شكرا لك,82
thx,82
رائع. شكرًا,82
شكرا لك سارة,82
thnks,82
مذهل شكرا,82
رائع شكرا لك,82
شكرا جزيلا,82
"cool, thanks",82
thanks for the help,82
"thanks for forum link, I'll check it out",82
thank u,82
شكرًا,82
شكراً جزيلاً,82
ok thanks,82
شكرا بوت,82
what's up?,83
ماذا يحدث هنا؟,83
How are you today?,83
اهلا كيف حالك؟,83
hw r u?,83
ناه ، أنا بخير كيف حالك؟,83
how are xou,83
هل كل شيء بخير,83
wassup&gt;,83
is everything all right,83
ما آخر ما توصلت اليه؟,83
how is it going,83
how r u ?,83
هل كل شيء على ما يرام؟,83
هل انت بخير,83
how is your evening,83
اهلا كيف انت؟,83
ما هو جيد,83
"HI Sara, what are you up to?",83
I'm fine and you,83
كيف حالك؟؟؟؟,83
انت بخير,83
كيف هو مسائك,83
How are you men?,83
كيف حالك هذا الصباح,83
how is your day,83
مرحباً سارة ، كيف الحال,83
كيف الامور؟,83
هل كل شيء على ما يرام,83
How you doing?,83
كيف حالكم ؟,83
وأنت,83
okay hi how are you?,83
how are you doing today my sweet friend,83
كيف أنت,83
how do you do?,83
How've you been?,83
whatsapp,83
whatchya upto ?,83
how are you',83
how are you today,83
حسنا مرحبا كيف حالك,83
مرحبا كيف حالك؟,83
كيف حالك؟,83
are you cool,83
حرو؟,83
and you,83
كيف تجري الامور؟,83
كيف الحياة,83
كيف حالك&gt;,83
what's up,83
how are you ?,83
كيف حالكم؟,83
How's life treating you friend?,83
مرحبا ساره! كيف حالك؟,83
how are things with you?,83
how's it going?,83
wassup>,83
hey how are you?,83
How was your day?,83
كيف حالك ؟,83
كيف تجري الامور,83
كيف تشعر,83
هل لديك يوم رائع؟,83
What's up man,83
What's new?,83
كيف هي احوالك؟,83
كيف تعاملك الحياة يا صديقي؟,83
كيف حالك اليوم؟,83
how's life been treating you?,83
how are you?,83
how are you doing today?,83
how you doing,83
أنا بخير وأنت,83
Do you have a great day?,83
كيف كان يومك؟,83
yow are you,83
ماذا هنالك يا رجل,83
How are you?,83
كيف حالك اليوم يا صديقي الجميل,83
how are u?,83
howareyou,83
هل تحظى بيوم جيد,83
مرحبا، كيف حالك,83
كيف حالك رسا,83
are you alright,83
كيف هي الأمور معك؟,83
how are you doing?,83
how r u,83
Do you feel good?,83
ماذا يحدث,83
مرحبا سارة كيف حالك,83
كيف هي الأمور؟,83
ال WhatsApp,83
how are things going,83
what about your day,83
هل أنت بخير,83
What's up,83
hi how u doing,83
how are you????,83
whats new,83
how are you doing,83
Hows it going,83
اهوي ماتي كيف حالك؟,83
ما أخبارك؟,83
ماذا عن يومك,83
How's it hanging?,83
how's life,83
how are yuo,83
are you happy,83
كيف الحال يا سارة,83
كيف حالكم يارجال؟,83
ما هو الجديد؟,83
whats goin on,83
How are things?,83
مرحبا سارة ، ما الذي تنوي فعله؟,83
h r u ?,83
Ahoy matey how are you?,83
"hi sara, how are you?",83
how are u,83
Is everything ok?,83
كيف حالك اليوم ؟,83
what are you up to?,83
are you okay,83
Hi Sara! How are you?,83
كيف كنت؟,83
are you ok,83
كيف يسير يومك,83
"hello, how are you?",83
كيف كان حالك؟,83
what's up sara,83
how are you doing this morning,83
how is your day going,83
how's your day going,83
كيف حالك,83
هل أنت مسرور,83
How are you,83
how are you Rasa,83
"Hey Sara, how's it going",83
"nah, I'm good   how are you doing?",83
how are you,83
كيف أنت؟,83
How are You?,83
كيف يومك,83
whatchcha تفعل,83
are you having a good day,83
Are you ok?,83
ما هو الجديد,83
هل أنت جيد,83
whatchcha doing,83
What's going on?,83
اين مسقط رأسك,84
What state were you born in?,84
You live around here?,84
اين قضيت شبابك,84
What citizenship do you lay claim to?,84
من أي بلد أنت,84
من اين,84
Where might you be from?,84
What city were you born in?,84
Where did you come from?,84
What is your original location?,84
So where are you from,84
Where were you at before you were here?,84
من أين؟,84
ما هو مكان ولادتك؟,84
من اين انت؟,84
أين ولدت؟,84
من أين قد تكون؟,84
من اين اتيت,84
أين جذورك؟,84
Where were you born?,84
Where are your roots?,84
Where did you originate?,84
where's your home town?,84
What city are you in?,84
What country are you from?,84
where do you come from?,84
where are from,84
Do you know where you come from?,84
where did you spend your youth?,84
من أين هم والديك؟,84
What is your birthplace?,84
Around where are you from?,84
Where do you come from?,84
أين موقعك؟,84
هل تعرف من أين أتيت؟,84
What's the name of the place you came from?,84
ما اسم المكان الذي أتيت منه؟,84
what country are you from?,84
ما المدينة التي ولدت بها؟,84
من اي منطقة انت؟,84
where are you from,84
are you from around here?,84
Where did you grow up?,84
What location are you from?,84
where are you from?,84
Where do you consider home?,84
What area are you from?,84
لقد ولدت في أي مكان؟,84
هل تعيشين هنا؟,84
من أي بلد حضرتك؟,84
هل أنت من الجوار؟,84
في أي بلد ولدت؟,84
What country were you born in?,84
في اي مدينة انت؟,84
من أين أتيت؟,84
أين أنت؟,84
ما هو موقعك الأصلي؟,84
From where did you come?,84
Where from?,84
من أين أنت؟,84
من أي البلاد أنت؟,84
where did you come from?,84
أين كنت قبل أن تكون هنا؟,84
What is your origin?,84
Where do you live?,84
في أي ولاية ولدت؟,84
أين تعيش؟,84
Where are your origins?,84
What is your root?,84
where do you live,84
ما هو جذرك؟,84
اين اصولك,84
Where are you located?,84
where did you grow up?,84
ما المدينة التي تدعيها عند ولادتك؟,84
tell me who you are,85
what are you?,85
what is you name,85
who the hell are you?,85
اسمك؟,85
who r u,85
who are you?,85
ماذا يمكنني أن أدعوك,85
hi what is your name?,85
who are u,85
who are you,85
ما هو اسمك,85
who is this,85
what's your name,85
what is you name and where are you from,85
what I can call you,85
what is your name,85
what is ur name,85
من انت,85
your name?,85
ما أنت؟,85
من أنت,85
اهلا مااسمك؟,85
ما اسمك ومن اين انت,85
what is your name?,85
من أنت بحق الجحيم؟,85
ما اسمك؟,85
which email,86
تحدث معي عن voulette,86
show me a picture of a chicken,86
من فضلك أسرع ، لدي موعد نهائي في غضون أسبوعين لتسليم الروبوت لشركة كبيرة جدًا,86
كيف يمكنني اختبار هذا,86
اريد ان احتفل,86
what else?,86
how long will the next version will launch?,86
أكثر,86
اريد المزيد منك في حياتي!,86
mountain,86
[كريستين] (الاسم) ، أريد الزواج منك,86
أريد تناول الغداء,86
did i break you,86
بالكاد أستطيع رؤية هذا النص الأبيض على خلفية رمادية فاتحة ...,86
هذا لا يبدو مزحة,86
آسف ، لا يمكنني إعادة الصياغة,86
سأتأكد,86
"are u, facebook?",86
what is machine learning,86
هل يمكنك صنع السندويشات؟,86
eshdtjfjfyk,86
Can you get analytics on who I'm chatting with when I use Rasa,86
مثال على chatbot,86
but I just told you that :(,86
what did you eat for lunch?,86
is rasa any good,86
what's a newsletter?,86
يمكنك تعلم كيفية صنع القهوة,86
Is today saturday?,86
السياقية,86
إلى أي بريد إلكتروني يجب أن أرسل؟,86
i want to order a pizza,86
أخبرني المزيد عن الإجراء التالي الأفضل,86
ولكن إذا كان rasa مفتوح المصدر فلماذا لديك فريق مبيعات,86
كيف,86
i want more of you in my life!,86
أي بريد إلكتروني,86
هل عندك صورتك,86
كيف تقول حسنا,86
everything,86
hang on let me find it,86
what lnu mean?,86
But you're an english site :(,86
ما هي النشرة؟,86
رائع ، أود شراء منزل,86
ما هو الفرق بين البوت والتميمة؟,86
أريد أن أموت,86
when is the next train is coming?,86
أحاول بناء واحدة ، وقمت ببعض الأبحاث من قبل ، لكني لم أقم بالعمل بعد,86
how are the kids,86
لديك أطفال؟,86
who is the president of india ?,86
اريد ان ارى زبائنك السعداء,86
lunch??,86
i want to see your happy customers,86
I am hungry,86
tertyryutyi,86
HomeBase is advertised as a community. Is there a way to interact with other members of the community?,86
really? you're so touchy?,86
what do you think abou siri?,86
give me food,86
what is the capital of india,86
I want to die,86
i want pizza,86
what is the real use case where we can use this one,86
wheres the party?,86
i want to eat,86
Is Rasa really smart?,86
[german](language)?,86
what is the current petrol price,86
مكان كتابة الأوامر,86
ما هذا,86
هل يمكن أن تعطيني فنجان قهوة؟,86
"oh my god, not again!",86
ماذا تفضل؟,86
أريد البيتزا!!,86
I'm a shitmuncher,86
can you learn from our conversation?,86
على أي نظام يعتمد على البرمجة اللغوية العصبية التي تقوم ببنائها؟,86
أريد شراء طائرة,86
is it allow to,86
are you vegan,86
سيارات,86
tell me more about next best action,86
I am asking you an out of scope question,86
يا أمي الصغيرة دعها تهمس في أذنك,86
please help with my ice cream it's dripping,86
هل انت الفيسبوك,86
cr,86
with you recommend me?,86
ما هو اليوم ؟,86
شخص ما يتصل بالشرطة أعتقد أن الروبوت مات,86
هل تستطيع التحدث عن السياسة,86
اريد حجز فندق,86
البحث في ويكيبيديا,86
لماذا السماء زرقاء,86
tricked  ya,86
ماذا أكلت اليوم؟,86
كم هي 10 + 89,86
كم من الوقت يستغرق إعداد روبوت Rasa؟,86
which file is created first while developing chat bot,86
Can you give me your datacenter's password?,86
Today,86
رخصة,86
I wan to buy a plane,86
remember my name,86
ماذا؟,86
اين انا الان,86
ما هو عدم التزامن LNU؟,86
ما رأيك في gdpr؟,86
The weather is good,86
كم هو جيد رسا,86
what do you think about [Stanley Ramirez](name)?,86
sudo إعادة التشغيل,86
ابحث عن أقرب [بيتزا] (شركة),86
هل هي أرض قاحلة مليئة بأجزاء الروبوت المكسورة؟,86
Can I ask you questions first?,86
شيء آخر,86
اين اوسلو,86
أحتاج إلى GP في 94301,86
I want french cuisine,86
من هو [شارون زيكس] (الاسم)؟,86
"common, just try",86
"i am hungry, what should i do?",86
"please hurry, i have deadline in two weeks to deliver the bot it is for very big company",86
what?,86
Cars,86
أحتاج على الفور إلى مساعدة في تنفيذ أروع روبوت يمكنك تخيله,86
I want to use pipe,86
من فضلك فوليت,86
umm,86
i immediately need help with implementing the coolest bot you can imagine,86
بيتزا,86
"alexa, order 5 tons of natrium chloride",86
هل تحبين كرة القدم,86
are you russian?,86
where is mexico?,86
هل لديك عرض؟,86
help with my life,86
again?,86
you lock sweety,86
من أين أحصل على ملفات التثبيت لنظام التشغيل Mac؟,86
how do you learn,86
i want to buy a roomba for my grandson,86
what is the day ?,86
i hope you will be better,86
what do oyu think about siri?,86
i am hungry,86
who is the MD of samsung bangalore ?,86
اين المكسيك,86
"yeah, my dog was drinking a couple of litres of water per day and tried drinking the swimming pool",86
من هو العضو المنتدب لشركة سامسونج بنغالور؟,86
is it a wasteland full of broken robot parts?,86
coronavirus,86
اريد لعب الكرة,86
إنني جائع أنا جوعان,86
can you help me with your docs?,86
contextual,86
سؤال خارج النطاق.,86
انتظر قليلا ما زلت أقرأ,86
search wikipedia,86
يرجى تشغيل الموسيقى,86
